material,date,key,value
NK,01.02.2018,norm_6,0
NK,01.02.2018,norm_5,0
NK,01.02.2018,norm_3,0
NK,01.02.2018,warehouse,0
NK,01.03.2018,norm_6,0
NK,01.03.2018,norm_5,0
NK,01.03.2018,norm_3,0
NK,01.03.2018,warehouse,0
NK,01.04.2018,norm_6,0
NK,01.04.2018,norm_5,0
NK,01.04.2018,norm_3,0
NK,01.04.2018,warehouse,0
NK,01.05.2018,norm_6,0
NK,01.05.2018,norm_5,0
NK,01.05.2018,norm_3,0
NK,01.05.2018,warehouse,0
NK,01.06.2018,norm_6,0
NK,01.06.2018,norm_5,0
NK,01.06.2018,norm_3,0
NK,01.06.2018,warehouse,0
NK,01.07.2018,norm_6,0
NK,01.07.2018,norm_5,0
NK,01.07.2018,norm_3,0
NK,01.07.2018,warehouse,0
NK,01.08.2018,norm_6,0
NK,01.08.2018,norm_5,0
NK,01.08.2018,norm_3,0
NK,01.08.2018,warehouse,0
NK,01.09.2018,norm_6,0
NK,01.09.2018,norm_5,0
NK,01.09.2018,norm_3,0
NK,01.09.2018,warehouse,0
NK,01.10.2018,norm_6,0
NK,01.10.2018,norm_5,0
NK,01.10.2018,norm_3,0
NK,01.10.2018,warehouse,0
NK,01.11.2018,norm_6,0
NK,01.11.2018,norm_5,0
NK,01.11.2018,norm_3,0
NK,01.11.2018,warehouse,0
NK,01.12.2018,norm_6,0
NK,01.12.2018,norm_5,0
NK,01.12.2018,norm_3,0
NK,01.12.2018,warehouse,0
NK,01.01.2019,norm_6,0
NK,01.01.2019,norm_5,0
NK,01.01.2019,norm_3,0
NK,01.01.2019,warehouse,0
NK,01.02.2019,norm_6,0
NK,01.02.2019,norm_5,0
NK,01.02.2019,norm_3,0
NK,01.02.2019,warehouse,0
NK,01.03.2019,norm_6,0
NK,01.03.2019,norm_5,0
NK,01.03.2019,norm_3,0
NK,01.03.2019,warehouse,0
NK,01.04.2019,norm_6,0
NK,01.04.2019,norm_5,0
NK,01.04.2019,norm_3,0
NK,01.04.2019,warehouse,0
NK,01.05.2019,norm_6,0
NK,01.05.2019,norm_5,0
NK,01.05.2019,norm_3,0
NK,01.05.2019,warehouse,0
NK,01.06.2019,norm_6,1493
NK,01.06.2019,norm_5,969
NK,01.06.2019,norm_3,257
NK,01.06.2019,warehouse,535
NK,01.07.2019,norm_6,1709
NK,01.07.2019,norm_5,1492
NK,01.07.2019,norm_3,610
NK,01.07.2019,warehouse,1496
NK,01.08.2019,norm_6,1924
NK,01.08.2019,norm_5,1623
NK,01.08.2019,norm_3,882
NK,01.08.2019,warehouse,1606
NK,01.09.2019,norm_6,2229
NK,01.09.2019,norm_5,1754
NK,01.09.2019,norm_3,1236
NK,01.09.2019,warehouse,2241
NK,01.10.2019,norm_6,2277
NK,01.10.2019,norm_5,1875
NK,01.10.2019,norm_3,1099
NK,01.10.2019,warehouse,2959
NK,01.11.2019,norm_6,2213
NK,01.11.2019,norm_5,1919
NK,01.11.2019,norm_3,1042
NK,01.11.2019,warehouse,2876
NK,01.12.2019,norm_6,2148
NK,01.12.2019,norm_5,1689
NK,01.12.2019,norm_3,993
NK,01.12.2019,warehouse,3075
NK,01.01.2020,norm_6,2362
NK,01.01.2020,norm_5,1931
NK,01.01.2020,norm_3,1178
NK,01.01.2020,warehouse,3642
NK,01.02.2020,norm_6,2538
NK,01.02.2020,norm_5,2061
NK,01.02.2020,norm_3,1171
NK,01.02.2020,warehouse,3340
NK,01.03.2020,norm_6,2659
NK,01.03.2020,norm_5,2063
NK,01.03.2020,norm_3,1155
NK,01.03.2020,warehouse,3049
NK,01.04.2020,norm_6,2912
NK,01.04.2020,norm_5,2257
NK,01.04.2020,norm_3,1184
NK,01.04.2020,warehouse,2452
NK,01.05.2020,norm_6,3151
NK,01.05.2020,norm_5,2618
NK,01.05.2020,norm_3,1367
NK,01.05.2020,warehouse,2627
NK,01.06.2020,norm_6,3237
NK,01.06.2020,norm_5,2692
NK,01.06.2020,norm_3,1504
NK,01.06.2020,warehouse,2139
NK,01.07.2020,norm_6,3044
NK,01.07.2020,norm_5,2806
NK,01.07.2020,norm_3,1728
NK,01.07.2020,warehouse,1950
NK,01.08.2020,norm_6,2873
NK,01.08.2020,norm_5,2567
