material,date,norm_3,norm_5,norm_6,warehouse
ER,2018-02-01,0,0,0,78
ER,2018-03-01,234,855,1131,164
ER,2018-04-01,449,1101,1508,191
ER,2018-05-01,738,1421,1677,501
ER,2018-06-01,897,1560,2326,639
ER,2018-07-01,1059,2081,2393,243
ER,2018-08-01,939,2017,2539,145
ER,2018-09-01,1429,2263,2975,364
ER,2018-10-01,1334,2568,3494,897
ER,2018-11-01,1600,3238,4061,1540
ER,2018-12-01,1546,3295,4329,804
ER,2019-01-01,2160,4017,5031,606
ER,2019-02-01,2461,4509,5539,211
ER,2019-03-01,2783,4827,6049,2308
ER,2019-04-01,2871,5123,6698,1273
ER,2019-05-01,3078,5875,7458,532
ER,2019-06-01,3266,6424,7866,967
ER,2019-07-01,3827,6852,7437,732
ER,2019-08-01,4380,6407,7042,1113
ER,2019-09-01,4600,5820,6493,1601
ER,2019-10-01,3610,4918,5464,1222
ER,2019-11-01,2662,3881,4280,1307
ER,2019-12-01,1893,2838,3465,892
ER,2020-01-01,1854,2880,3463,490
ER,2020-02-01,1618,2828,3258,564
ER,2020-03-01,1572,2585,2982,1333
ER,2020-04-01,1609,2436,2866,1135
ER,2020-05-01,1640,2467,2784,830
ER,2020-06-01,1410,2157,2690,554
ER,2020-07-01,1257,2107,2263,280
ER,2020-08-01,1144,1833,2090,204
ER,2020-09-01,1280,1693,2024,159
ER,2020-10-01,1006,1594,1889,1480
ER,2020-11-01,946,1572,1817,1204
ER,2020-12-01,744,1284,1457,2313
ER,2021-01-01,883,1301,1445,2188
ER,2021-02-01,871,1188,1345,3107
ER,2021-03-01,713,1014,1155,3776
ER,2021-04-01,562,860,1019,5296
ER,2021-05-01,474,774,899,5176
ER,2021-06-01,442,726,912,5099
ER,2021-07-01,457,768,864,5051
ER,2021-08-01,425,785,942,5000
ER,2021-09-01,470,705,846,4939
ER,2021-10-01,477,795,954,4777
ER,2021-11-01,375,625,750,4677
ER,2021-12-01,558,930,1116,4597
NK,2018-02-01,0,0,0,0
NK,2018-03-01,0,0,0,0
NK,2018-04-01,0,0,0,0
NK,2018-05-01,0,0,0,0
NK,2018-06-01,0,0,0,0
NK,2018-07-01,0,0,0,0
NK,2018-08-01,0,0,0,0
NK,2018-09-01,0,0,0,0
NK,2018-10-01,0,0,0,0
NK,2018-11-01,0,0,0,0
NK,2018-12-01,0,0,0,0
NK,2019-01-01,0,0,0,0
NK,2019-02-01,0,0,0,0
NK,2019-03-01,0,0,0,0
NK,2019-04-01,0,0,0,0
NK,2019-05-01,0,0,0,0
NK,2019-06-01,257,969,1493,535
NK,2019-07-01,610,1492,1709,1496
NK,2019-08-01,882,1623,1924,1606
NK,2019-09-01,1236,1754,2229,2241
NK,2019-10-01,1099,1875,2277,2959
NK,2019-11-01,1042,1919,2213,2876
NK,2019-12-01,993,1689,2148,3075
NK,2020-01-01,1178,1931,2362,3642
NK,2020-02-01,1171,2061,2538,3340
NK,2020-03-01,1155,2063,2659,3049
NK,2020-04-01,1184,2257,2912,2452
NK,2020-05-01,1367,2618,3151,2627
NK,2020-06-01,1504,2692,3237,2139
NK,2020-07-01,1728,2806,3044,1950
NK,2020-08-01,1784,2567,2873,1557
NK,2020-09-01,1733,2277,2642,1400
NK,2020-10-01,1316,1987,2304,3397
NK,2020-11-01,1089,1771,2093,3095
NK,2020-12-01,909,1548,1890,4169
NK,2021-01-01,988,1652,1924,4642
NK,2021-02-01,1004,1618,2029,5233
NK,2021-03-01,981,1664,2118,5436
NK,2021-04-01,936,1801,2204,5041
NK,2021-05-01,1025,1882,2273,4693
NK,2021-06-01,1137,1931,2427,4382
NK,2021-07-01,1268,2155,1632,4016
NK,2021-08-01,1248,2055,2466,3658
NK,2021-09-01,1290,2270,2724,3342
NK,2021-10-01,1209,2015,2418,3073
NK,2021-11-01,1173,1955,2346,2767
NK,2021-12-01,1488,2480,2976,3097
