1lv,2lv,date,value
МР Сибирь,Абакан,2020-04-06,0.37
МР Сибирь,Абакан,2020-04-08,0.19
МР Сибирь,Абакан,2020-04-10,0.56
МР Сибирь,Абакан,2020-04-11,0.56
МР Сибирь,Абакан,2020-04-14,1.48
МР Сибирь,Абакан,2020-04-15,1.11
МР Сибирь,Абакан,2020-04-16,0.19
МР Сибирь,Абакан,2020-04-17,2.04
МР Сибирь,Абакан,2020-04-18,1.48
МР Сибирь,Абакан,2020-04-19,4.08
МР Сибирь,Абакан,2020-04-20,1.48
МР Сибирь,Абакан,2020-04-21,1.48
МР Сибирь,Абакан,2020-04-22,0.56
МР Сибирь,Абакан,2020-04-23,2.22
МР Сибирь,Абакан,2020-04-24,0.56
МР Сибирь,Абакан,2020-04-25,9.08
МР Сибирь,Абакан,2020-04-26,4.63
МР Сибирь,Абакан,2020-04-27,1.48
МР Сибирь,Абакан,2020-04-28,4.08
МР Сибирь,Абакан,2020-04-29,4.08
МР Сибирь,Абакан,2020-04-30,0.74
МР Сибирь,Абакан,2020-05-01,4.63
МР Сибирь,Абакан,2020-05-02,1.67
МР Сибирь,Абакан,2020-05-03,1.11
МР Сибирь,Абакан,2020-05-04,5.56
МР Сибирь,Абакан,2020-05-05,2.97
МР Сибирь,Абакан,2020-05-06,4.08
МР Сибирь,Абакан,2020-05-07,2.22
МР Сибирь,Абакан,2020-05-08,2.78
МР Сибирь,Абакан,2020-05-09,6.67
МР Сибирь,Абакан,2020-05-10,4.08
МР Сибирь,Абакан,2020-05-11,7.6
МР Сибирь,Абакан,2020-05-12,6.86
МР Сибирь,Абакан,2020-05-13,3.89
МР Сибирь,Абакан,2020-05-14,1.48
МР Сибирь,Абакан,2020-05-15,4.63
МР Сибирь,Абакан,2020-05-16,7.04
МР Сибирь,Абакан,2020-05-17,4.26
МР Сибирь,Абакан,2020-05-18,4.45
МР Сибирь,Абакан,2020-05-19,4.63
МР Сибирь,Абакан,2020-05-20,5.19
МР Сибирь,Абакан,2020-05-21,5.38
МР Сибирь,Абакан,2020-05-22,4.26
МР Сибирь,Абакан,2020-05-23,5.75
МР Сибирь,Абакан,2020-05-24,2.04
МР Сибирь,Абакан,2020-05-25,4.45
МР Сибирь,Абакан,2020-05-26,4.26
МР Сибирь,Абакан,2020-05-27,3.71
МР Сибирь,Абакан,2020-05-28,4.08
МР Сибирь,Абакан,2020-05-29,5.93
МР Сибирь,Абакан,2020-05-30,5.56
МР Сибирь,Абакан,2020-05-31,4.45
МР Сибирь,Абакан,2020-06-01,3.89
МР Сибирь,Абакан,2020-06-02,6.49
МР Сибирь,Абакан,2020-06-03,5.93
МР Сибирь,Абакан,2020-06-04,4.63
МР Сибирь,Абакан,2020-06-05,4.63
МР Сибирь,Абакан,2020-06-06,1.67
МР Сибирь,Абакан,2020-06-07,3.15
МР Сибирь,Абакан,2020-06-08,2.41
МР Сибирь,Абакан,2020-06-09,4.45
МР Сибирь,Абакан,2020-06-10,4.82
МР Сибирь,Абакан,2020-06-11,7.04
МР Сибирь,Абакан,2020-06-12,6.86
МР Сибирь,Абакан,2020-06-13,6.12
МР Сибирь,Абакан,2020-06-14,4.45
МР Сибирь,Абакан,2020-06-15,6.12
МР Сибирь,Абакан,2020-06-16,4.63
МР Сибирь,Абакан,2020-06-17,5.19
МР Сибирь,Абакан,2020-06-18,6.49
МР Сибирь,Абакан,2020-06-19,8.53
МР Сибирь,Абакан,2020-06-20,8.71
МР Сибирь,Абакан,2020-06-21,8.53
МР Сибирь,Абакан,2020-06-22,5.38
МР Сибирь,Абакан,2020-06-23,3.52
МР Сибирь,Абакан,2020-06-24,5.56
МР Сибирь,Абакан,2020-06-25,6.49
МР Сибирь,Абакан,2020-06-26,7.23
МР Сибирь,Абакан,2020-06-27,6.67
МР Сибирь,Абакан,2020-06-28,7.6
МР Сибирь,Абакан,2020-06-29,5.93
МР Сибирь,Абакан,2020-06-30,5.19
МР Сибирь,Абакан,2020-07-01,5.93
МР Сибирь,Абакан,2020-07-02,5.75
МР Сибирь,Абакан,2020-07-03,7.04
МР Сибирь,Абакан,2020-07-04,7.41
МР Сибирь,Абакан,2020-07-05,7.79
МР Сибирь,Абакан,2020-07-06,5.19
МР Сибирь,Абакан,2020-07-07,4.82
МР Сибирь,Абакан,2020-07-08,6.12
МР Сибирь,Абакан,2020-07-09,8.34
МР Сибирь,Абакан,2020-07-10,9.08
МР Сибирь,Абакан,2020-07-11,9.08
МР Сибирь,Абакан,2020-07-12,8.16
МР Сибирь,Абакан,2020-07-13,8.34
МР Сибирь,Абакан,2020-07-14,7.6
МР Сибирь,Абакан,2020-07-15,6.49
МР Сибирь,Абакан,2020-07-16,6.3
МР Сибирь,Абакан,2020-07-17,6.67
МР Сибирь,Абакан,2020-07-18,7.04
МР Сибирь,Абакан,2020-07-19,6.86
МР Сибирь,Абакан,2020-07-20,6.12
МР Сибирь,Абакан,2020-07-21,3.89
МР Сибирь,Абакан,2020-07-22,3.52
МР Сибирь,Абакан,2020-07-23,3.89
МР Сибирь,Абакан,2020-07-24,3.71
МР Сибирь,Абакан,2020-07-25,3.89
МР Сибирь,Абакан,2020-07-26,3.52
МР Сибирь,Абакан,2020-07-27,3.71
МР Сибирь,Абакан,2020-07-28,3.15
МР Сибирь,Абакан,2020-07-29,2.97
МР Сибирь,Абакан,2020-07-30,2.97
МР Сибирь,Абакан,2020-07-31,3.34
МР Сибирь,Абакан,2020-08-01,3.52
МР Сибирь,Абакан,2020-08-02,3.89
МР Сибирь,Абакан,2020-08-03,4.26
МР Сибирь,Абакан,2020-08-04,4.26
МР Сибирь,Абакан,2020-08-05,4.08
МР Сибирь,Абакан,2020-08-06,3.89
МР Сибирь,Абакан,2020-08-07,3.52
МР Сибирь,Абакан,2020-08-08,3.34
